時間[s] 推定速度[km/h] 実速度[km/h]
7.173088 0 0
7.185905 0 0
7.197403 0 0
7.208778 0 0
7.220787 0 0
7.234062 0 0
7.245553 0 0
7.257204 0 0
7.274733 0 0
7.286541 0 0
7.298082 0 0
7.309929 0 0
7.32236 0 0
7.334775 0 0
7.346449 0 0
7.357977 0 0
7.37057 0 0
7.382446 0 0
7.394004 0 0
7.405604 0 0
7.4177 0 0
7.429571 0 0
7.441025 0 0
7.453677 0 0
7.466645 0 0
7.47934 0 0
7.490896 0 0
7.502635 0 0
7.514817 0 0
7.526973 0 0
7.539387 0 0
7.554329 0 0
7.574252 0 0
7.586767 0 0
7.599108 0 0
7.610696 0 0
7.622245 0 0
7.634892 0 0
7.646861 0 0
7.659176 0 0
7.670843 0 0
7.683482 0 0
7.69498 0 0
7.706556 0 0
7.718484 0 0
7.73047 0 0
7.742452 0 0
7.754672 0 0
7.766509 0 0
7.778412 0 0
7.790454 0 0
7.802723 0 0
7.814902 0 0
7.826288 0 0
7.837828 0 0
7.850154 0 0
7.862176 0 0
7.874359 0 0
7.885958 0 0
7.898155 0 0
7.909825 0 0
7.921434 0 0
7.933271 0 0
7.945476 0 0
7.958038 0 0
7.969769 0 0
7.981418 0 0
7.993239 0 0
8.005135 0 0
8.017976 0 0
8.029684 0 0
8.041591 0 0
8.053347 0 0
8.065044 0 0
8.085239 0 0
8.097312 0 0
8.109471 0 0
8.121879 0 0
8.13364 0 0
8.145695 0 0
8.158026 0 0
8.170131 0 0
8.18182 0 0
8.194053 0 0
8.206105 0 0
8.218136 0 0
8.230011 0 0
8.243039 0 0
8.254994 0 0
8.267043 0 0
8.278711 0 0
8.291097 0 0
8.302486 0 0
8.314305 0 0
8.326155 0 0
8.338047 0 0
8.350565 0 0
8.362477 0 0
8.374352 0 0
8.387303 0 0
8.399144 0 0
8.411082 0 0
8.422958 0 0
8.434772 0 0
8.446774 0 0
8.458459 0 0
8.470776 0 0
8.483027 0 0
8.494475 0 0
8.506369 0 0
8.518049 0 0
8.53082 0 0
8.542202 0 0
8.553738 0 0
8.566296 0 0
8.586723 0 0
8.59872 0 0
8.610688 0 0
8.622188 0 0
8.633911 0 0
8.645062 0 0
8.656814 0 0
8.669074 0 0
8.681003 0 0
8.692188 0 0
8.704539 0 0
8.717078 0.00773532483825712 0
8.728441 0.00773532483825712 0
8.739729 0.00773532483825712 0
8.752043 0.00773532483825712 0
8.763874 0.0168362731929343 0
8.775521 0.0168362731929343 0
8.787105 0.0168362731929343 0
8.799408 0.0168362731929343 0
8.811419 0.02418473272796 0
8.822853 0.02418473272796 0
8.834992 0.02418473272796 0
8.846835 0.02418473272796 0
8.858633 0.0320302807690695 0
8.870786 0.0320302807690695 0
8.88282 0.0320302807690695 0
8.895076 0.0320302807690695 0
8.906796 0.03932135550091 0
8.918624 0.03932135550091 0
8.93103 0.03932135550091 0
8.942716 0.03932135550091 0
8.9545 0.0443202756544955 0
8.9666 0.0443202756544955 0
8.978658 0.0443202756544955 0
8.990684 0.0443202756544955 0
9.002222 0.0489528524417803 0
9.013917 0.0489528524417803 0
9.02633 0.0489528524417803 0
9.038591 0.0489528524417803 0
9.051034 0.0520289147042861 0
9.062267 0.0520289147042861 0
9.074193 0.0520289147042861 0
9.094513 0.0520289147042861 0
9.106324 0.0550584607412791 0
9.119576 0.0550584607412791 0
9.132195 0.0550584607412791 0
9.143591 0.0550584607412791 0
9.156233 0.0566635846101307 0
9.168427 0.0566635846101307 0
9.180861 0.0566635846101307 0
9.192654 0.0566635846101307 0
9.204321 0.0579382992445057 0
9.216727 0.0579382992445057 0
9.228606 0.0579382992445057 0
9.240679 0.0579382992445057 0
9.252352 0.0584526154945057 0
9.264983 0.0584526154945057 0
9.276552 0.0584526154945057 0
9.288445 0.0584526154945057 0
9.30076 0.0591141154945057 0
9.312846 0.0591141154945057 0
9.325042 0.0591141154945057 0
9.337051 0.0591141154945057 0
9.349244 0.0591141154945057 0
9.361155 0.0591141154945057 0
9.372715 0.0591141154945057 0
9.38483 0.0591141154945057 0
9.397318 0.0591141154945057 0
9.408937 0.0591141154945057 0
9.420646 0.0591141154945057 0
9.433331 0.0591141154945057 0
9.445098 0.0591141154945057 0
9.457544 0.0591141154945057 0
9.474899 0.0591141154945057 0
9.486482 0.0591141154945057 0
9.498821 0.0591141154945057 0
9.510592 0.0591141154945057 0
9.522688 0.0591141154945057 0
9.5348 0.0591141154945057 0
9.547451 0.0591141154945057 0
9.559173 0.0591141154945057 0
9.570736 0.0591141154945057 0
9.582675 0.0591141154945057 0
9.602646 0.0591141154945057 0
9.6153 0.0591141154945057 0
9.626914 0.0591141154945057 0
9.638982 0.0608078629890512 0
9.651614 0.0608078629890512 0
9.663631 0.0608078629890512 0
9.675102 0.0608078629890512 0
9.68699 0.0654761078003134 0
9.699732 0.0654761078003134 0
9.712412 0.0654761078003134 0
9.724556 0.0654761078003134 0
9.736352 0.0716844191093165 0
9.748391 0.0716844191093165 0
9.759855 0.0716844191093165 0
9.771623 0.0716844191093165 0
9.783774 0.0803069687023779 0
9.796165 0.0803069687023779 0
9.807971 0.0803069687023779 0
9.82 0.0803069687023779 0
9.832622 0.09021654967357 0
9.843902 0.09021654967357 0
9.855899 0.09021654967357 0
9.868504 0.09021654967357 0
9.880661 0.10028611293721 0
9.892437 0.10028611293721 0
9.904246 0.10028611293721 0
9.91661 0.10028611293721 0
9.92823 0.108324802752984 0
9.939925 0.108324802752984 0
9.95216 0.108324802752984 0
9.964724 0.108324802752984 0
9.97686 0.116098140705393 0
9.988578 0.116098140705393 0
10.00112 0.116098140705393 0
10.01317 0.116098140705393 0
10.02497 0.121971556623743 0
10.03645 0.121971556623743 0
10.04867 0.121971556623743 0
10.06029 0.121971556623743 0
10.07196 0.127219441163963 0
10.08391 0.127219441163963 0
10.10462 0.127219441163963 0
10.11742 0.130613595917189 0
10.1292 0.130613595917189 0
10.1415 0.130613595917189 0
10.15349 0.130613595917189 0
10.16608 0.133064126801564 0
10.17777 0.133064126801564 0
10.19012 0.133064126801564 0
10.20247 0.133064126801564 0
10.21441 0.134239943051564 0
10.22638 0.134239943051564 0
10.23881 0.134239943051564 0
10.25039 0.134239943051564 0
10.26232 0.134901443051564 0
10.27422 0.134901443051564 0
10.28729 0.134901443051564 0
10.29982 0.134901443051564 0
10.31176 0.134901443051564 0
10.32366 0.134901443051564 0
10.33582 0.134901443051564 0
10.34805 0.134901443051564 0
10.36015 0.133207695557019 0
