時間[s] 推定速度[km/h]
9.228084 0
9.240016 0
9.25174 0
9.264376 0
9.275868 0
9.288207 0
9.300979 0
9.312818 0
9.32458 0
9.337219 0
9.349669 0
9.361135 0
9.373225 0
9.387941 0
9.401246 0
9.413694 0
9.425762 0
9.437714 0
9.450819 0
9.463068 0
9.475263 0
9.486917 0
9.498903 0
9.511995 0
9.5239 0
9.536464 0
9.548533 0
9.561141 0
9.573431 0
9.58873 0
9.601075 0
9.614143 0
9.626756 0
9.638728 0
9.651322 0
9.664165 0
9.677808 0
9.690019 0
9.702902 0
9.715781 0
9.728506 0
9.740352 0
9.752392 0
9.764186 0
9.775952 0
9.789942 0
9.801924 0
9.814455 0
9.826436 0
9.838776 0
9.85064 0
9.862483 0
9.87433 0
9.886387 0.00814589024367573
9.899139 0.00814589024367573
9.911225 0.00814589024367573
9.923576 0.00814589024367573
9.935259 0
9.948956 0
9.961739 0
9.973984 0
9.98583 0
10.00143 0
10.01481 0
10.02666 0
10.03869 0
10.05145 0
10.06423 0
10.0764 0
10.08895 0
10.10193 0
10.11482 0
10.12698 0
10.13854 0
10.15039 0
10.16317 1.08882908934874
10.17609 1.08882908934874
10.19125 1.08882908934874
10.20565 1.08882908934874
10.21834 1.52273838707686
10.23211 1.52273838707686
10.24361 1.52273838707686
10.25511 1.52273838707686
10.26739 1.82852083138559
10.2809 1.82852083138559
10.29255 1.82852083138559
10.30481 1.82852083138559
10.31783 1.82852083138559
10.32956 2.22070631159179
10.34198 2.22070631159179
10.35357 2.22070631159179
10.36596 2.22070631159179
10.37767 2.22070631159179
10.3896 2.62829280435109
10.4036 2.62829280435109
10.41799 2.62829280435109
10.43008 2.62829280435109
10.44202 3.00124377451294
10.45512 3.00124377451294
10.46736 3.00124377451294
10.47913 3.00124377451294
10.49052 3.42119296395507
10.50398 3.42119296395507
10.51625 3.42119296395507
10.52768 3.42119296395507
10.53924 3.42119296395507
10.5512 3.8119599572738
10.5643 3.8119599572738
10.57594 3.8119599572738
10.58755 3.8119599572738
10.59974 3.8119599572738
10.61145 4.21702369163251
10.62671 4.21702369163251
10.63912 4.21702369163251
10.6511 4.21702369163251
10.66336 4.58292607942553
10.67616 4.58292607942553
10.68944 4.58292607942553
10.70235 4.58292607942553
10.71583 4.95398579485775
10.72808 4.95398579485775
10.7398 4.95398579485775
10.75156 4.95398579485775
10.76371 4.95398579485775
10.77565 5.32586117008536
10.78795 5.32586117008536
10.79979 5.32586117008536
10.81168 5.32586117008536
10.82622 5.68354316515141
10.83899 5.68354316515141
10.85086 5.68354316515141
10.86238 5.68354316515141
10.87445 5.68354316515141
10.88649 6.03188601270447
10.89896 6.03188601270447
10.91072 6.03188601270447
10.92241 6.03188601270447
10.93457 6.34192161303062
10.94696 6.34192161303062
10.95898 6.34192161303062
10.97106 6.34192161303062
10.98316 6.34192161303062
10.99518 6.70088140508958
11.00875 6.70088140508958
11.02108 6.70088140508958
11.03524 6.70088140508958
11.04812 7.01693772700479
11.06081 7.01693772700479
11.07224 7.01693772700479
