時間[s] 起点x 起点y 起点z ベクトルx ベクトルy ベクトルz
2.077882 0 1.97 0.3 0 0 1
2.084753 0 1.97 0.3 0 0 1
2.094166 0 1.97 0.3 0 0 1
2.101146 0 1.97 0.3 0 0 1
2.108592 0 1.97 0.3 0 0 1
2.1153 0 1.97 0.3 0 0 1
2.122769 0 1.97 0.3 0 0 1
2.129523 0 1.97 0.3 0 0 1
2.137476 0 1.97 0.3 0 0 1
2.144387 0 1.97 0.3 0 0 1
2.150873 0 1.97 0.3 0 0 1
2.157508 0 1.97 0.3 0 0 1
2.163725 0 1.97 0.3 0 0 1
2.170406 0 1.97 0.3 0 0 1
2.177378 0 1.97 0.3 0 0 1
2.183757 0 1.97 0.3 0 0 1
2.190604 0 1.97 0.3 0 0 1
2.198105 0 1.97 0.3 0 0 1
2.204709 0 1.97 0.3 0 0 1
2.211736 0 1.97 0.3 0 0 1
2.218475 0 1.97 0.3 0 0 1
2.22576 0 1.97 0.3 0 0 1
2.232186 0 1.97 0.3 0 0 1
2.238873 0 1.97 0.3 0 0 1
2.245639 0 1.97 0.3 0 0 1
2.252545 0 1.97 0.3 0 0 1
2.259952 0 1.97 0.3 0 0 1
2.266452 0 1.97 0.3 0 0 1
2.27365 0 1.97 0.3 0 0 1
2.280348 0 1.97 0.3 0 0 1
2.286775 0 1.97 0.3 0 0 1
2.295893 0 1.97 0.3 0 0 1
2.302408 0 1.97 0.3 0 0 1
2.309241 0 1.97 0.3 0 0 1
2.315699 0 1.97 0.3 0 0 1
2.322425 0 1.97 0.3 0 0 1
2.328676 0 1.97 0.3 0 0 1
2.335217 0 1.97 0.3 0 0 1
2.342329 0 1.97 0.3 0 0 1
2.349096 0 1.97 0.3 0 0 1
2.356115 0 1.97 0.3 0 0 1
2.363264 0 1.97 0.3 0 0 1
2.36955 0 1.97 0.3 0 0 1
2.376566 0 1.97 0.3 0 0 1
2.382583 0 1.97 0.3 0 0 1
2.389137 0 1.97 0.3 0 0 1
2.395579 0 1.97 0.3 0 0 1
2.401746 0 1.97 0.3 0 0 1
2.408358 0 1.97 0.3 0 0 1
2.414618 0 1.97 0.3 0 0 1
2.421748 0 1.97 0.3 0 0 1
2.434499 0 1.97 0.3 0 0 1
2.441312 0 1.97 0.3 0 0 1
2.44746 0 1.97 0.3 0 0 1
2.453895 0 1.97 0.3 0 0 1
2.461046 0 1.97 0.3 0 0 1
2.467777 0 1.97 0.3 0 0 1
2.474804 0 1.97 0.3 0 0 1
2.481395 0 1.97 0.3 0 0 1
2.4895 0 1.97 0.3 0 0 1
2.500413 0 1.97 0.3 0 0 1
2.508795 0 1.97 0.3 0 0 1
2.517079 0 1.97 0.3 0 0 1
2.524563 0 1.97 0.3 0 0 1
2.532319 0 1.97 0.3 0 0 1
2.540866 0 1.97 0.3 0 0 1
2.547866 0 1.97 0.3 0 0 1
2.554531 0 1.97 0.3 0 0 1
2.561321 0 1.97 0.3 0 0 1
2.568239 0 1.97 0.3 0 0 1
2.575177 0 1.97 0.3 0 0 1
2.581322 0 1.97 0.3 0 0 1
2.587939 0 1.97 0.3 0 0 1
2.594281 0 1.97 0.3 0 0 1
2.600612 0 1.97 0.3 0 0 1
2.607301 0 1.97 0.3 0 0 1
2.613532 0 1.97 0.3 0 0 1
2.619757 0 1.97 0.3 0 0 1
2.626171 0 1.97 0.3 0 0 1
2.63263 0 1.97 0.3 0 0 1
2.639809 0 1.97 0.3 0 0 1
2.646326 0 1.97 0.3 0 0 1
2.654633 0 1.97 0.3 0 0 1
2.660931 0 1.97 0.3 0 0 1
2.66793 0 1.97 0.3 0 0 1
2.674639 0 1.97 0.3 0 0 1
2.681242 0 1.97 0.3 0 0 1
2.68769 0 1.97 0.3 0 0 1
2.694182 0 1.97 0.3 0 0 1
2.702768 0 1.97 0.3 0 0 1
2.710065 0 1.97 0.3 0 0 1
2.716329 0 1.97 0.3 0 0 1
2.723246 0 1.97 0.3 0 0 1
2.730445 0 1.97 0.3 0 0 1
2.736529 0 1.97 0.3 0 0 1
2.743029 0 1.97 0.3 0 0 1
2.749772 0 1.97 0.3 0 0 1
2.756878 0 1.97 0.3 0 0 1
2.763418 0 1.97 0.3 0 0 1
2.769703 0 1.97 0.3 0 0 1
2.776635 0 1.97 0.3 0 0 1
2.783085 0 1.97 0.3 0 0 1
2.790014 0 1.97 0.3 0 0 1
2.796456 0 1.97 0.3 0 0 1
2.803256 0 1.97 0.3 0 0 1
2.810104 0 1.97 0.3 0 0 1
2.817832 0 1.97 0.3 0 0 1
2.825061 0 1.97 0.3 0 0 1
2.831643 0 1.97 0.3 0 0 1
2.838117 0 1.97 0.3 0 0 1
2.844585 0 1.97 0.3 0 0 1
2.851413 0 1.97 0.3 0 0 1
2.85825 0 1.97 0.3 0 0 1
2.864586 0 1.97 0.3 0 0 1
